assets,e401k,age,educ,income,incomecat,pension,married,twoearn,ira,ownhome
1450,Not eligible,40,11,40620,3,No pension,Married,Yes,No,Yes
16175,Not eligible,60,12,14190,0,No pension,Married,No,No,Yes
10569,Not eligible,64,12,17604,1,Receives pension,Not married,No,Yes,No
0,Not eligible,57,6,13362,0,No pension,Not married,No,No,Yes
7650,Not eligible,37,16,30996,2,No pension,Married,No,No,Yes
0,Not eligible,46,6,3690,0,No pension,Married,No,No,Yes
-4800,Not eligible,54,14,12048,0,Receives pension,Not married,No,No,Yes
-928,Not eligible,36,11,8316,0,No pension,Not married,No,No,Yes
-1900,Not eligible,29,13,26784,2,No pension,Married,Yes,No,Yes
-300,Not eligible,33,15,33006,2,Receives pension,Married,Yes,No,Yes
2999,Not eligible,53,12,52008,3,No pension,Married,Yes,No,Yes
-5650,Not eligible,49,11,16092,0,No pension,Married,No,No,Yes
-1630,Not eligible,42,18,44526,3,Receives pension,Married,Yes,No,Yes
62899,Not eligible,60,7,33885,2,No pension,Married,No,Yes,Yes
157350,Not eligible,46,16,73620,4,No pension,Married,No,Yes,Yes
-1450,Not eligible,25,12,24510,1,No pension,Married,Yes,No,No
18000,Not eligible,41,18,44760,3,No pension,Married,Yes,No,Yes
-23500,Not eligible,30,18,30000,2,No pension,Married,No,No,No
250,Not eligible,29,12,35100,2,No pension,Not married,No,No,No
-3969,Not eligible,42,12,25281,1,No pension,Married,No,No,No
39189,Not eligible,38,17,45336,3,No pension,Not married,No,Yes,No
0,Not eligible,40,12,25536,1,No pension,Not married,No,No,No
-17039,Not eligible,39,13,41298,3,No pension,Married,No,No,Yes
-376,Not eligible,38,15,13080,0,No pension,Not married,No,No,No
-20,Not eligible,30,12,10272,0,No pension,Not married,No,No,No
-1755,Not eligible,30,12,21690,1,No pension,Married,Yes,No,Yes
-9868,Not eligible,50,16,30420,2,No pension,Married,No,No,No
1586,Not eligible,37,16,25134,1,Receives pension,Married,No,No,No
34149,Not eligible,42,16,41232,3,No pension,Married,Yes,Yes,Yes
67,Not eligible,44,8,11262,0,No pension,Married,No,No,No
1000,Not eligible,32,14,9774,0,No pension,Not married,No,No,No
-19733,Not eligible,32,12,27261,2,No pension,Married,Yes,No,No
9000,Not eligible,53,15,19200,1,No pension,Not married,No,Yes,No
-30,Not eligible,48,12,19176,1,No pension,Married,No,No,Yes
1300,Not eligible,40,12,25035,1,No pension,Married,No,No,Yes
57800,Not eligible,57,18,30675,2,No pension,Not married,No,Yes,No
-600,Not eligible,40,13,13290,0,No pension,Not married,No,No,Yes
13569,Not eligible,64,11,13737,0,No pension,Not married,No,No,Yes
-300,Not eligible,47,12,26316,1,Receives pension,Married,No,No,Yes
-6000,Not eligible,30,12,60870,4,No pension,Married,Yes,No,Yes
-830,Not eligible,37,12,29445,2,No pension,Married,No,No,Yes
-4700,Not eligible,33,12,21972,1,Receives pension,Not married,No,No,No
87897,Not eligible,59,18,79545,4,No pension,Married,No,Yes,Yes
-950,Not eligible,57,9,3600,0,No pension,Married,No,No,No
-14000,Not eligible,49,18,89100,4,Receives pension,Married,Yes,No,Yes
-3000,Not eligible,39,14,1950,0,No pension,Married,Yes,Yes,No
1549,Not eligible,54,13,36996,2,No pension,Married,Yes,No,Yes
199,Not eligible,48,8,20418,1,No pension,Married,Yes,No,No
0,Not eligible,49,14,14100,0,No pension,Not married,No,No,No
109000,Not eligible,54,15,58653,4,Receives pension,Not married,No,Yes,Yes
899,Not eligible,40,12,27735,2,No pension,Married,Yes,No,Yes
-609,Not eligible,29,10,27486,2,No pension,Married,No,Yes,No
-200,Not eligible,27,12,15000,0,Receives pension,Not married,No,No,No
10747,Not eligible,43,12,33288,2,No pension,Married,Yes,No,Yes
800,Not eligible,52,13,46800,3,No pension,Married,Yes,No,No
74800,Not eligible,51,16,66573,4,No pension,Married,Yes,Yes,Yes
-7970,Not eligible,33,16,47001,3,Receives pension,Married,Yes,No,No
-1829,Not eligible,60,12,25005,1,No pension,Married,No,No,Yes
-2430,Not eligible,48,12,14328,0,No pension,Married,Yes,No,Yes
29700,Not eligible,34,17,22410,1,No pension,Not married,No,Yes,No
-1200,Not eligible,28,12,17643,1,No pension,Not married,No,No,No
0,Not eligible,37,12,27675,2,No pension,Not married,No,No,No
400,Not eligible,48,14,8916,0,No pension,Not married,No,No,Yes
1414,Not eligible,38,14,36150,2,No pension,Married,No,No,Yes
-540,Not eligible,34,14,25998,1,No pension,Not married,No,Yes,Yes
-2010,Not eligible,26,12,27960,2,No pension,Married,Yes,No,Yes
-2000,Not eligible,43,12,19680,1,Receives pension,Not married,No,No,Yes
-8000,Not eligible,31,12,11460,0,No pension,Married,No,No,Yes
1900,Not eligible,30,12,43293,3,Receives pension,Married,Yes,No,No
-1000,Not eligible,33,15,22161,1,Receives pension,Not married,No,No,No
2000,Not eligible,37,13,16425,0,No pension,Not married,No,No,No
400,Not eligible,28,14,11481,0,No pension,Not married,No,No,No
-465,Not eligible,35,12,8670,0,No pension,Not married,No,No,No
13200,Not eligible,47,8,57600,4,No pension,Married,No,Yes,Yes
1499,Not eligible,49,16,41658,3,No pension,Not married,No,No,No
626,Not eligible,28,12,38400,3,No pension,Married,Yes,No,Yes
17000,Not eligible,39,18,42009,3,Receives pension,Not married,No,Yes,Yes
-8101,Not eligible,36,16,45030,3,No pension,Married,No,No,Yes
15434,Not eligible,56,13,35772,2,No pension,Married,No,Yes,Yes
2300,Not eligible,30,16,27840,2,No pension,Not married,No,No,Yes
53699,Not eligible,55,12,54963,4,No pension,Married,No,No,Yes
-600,Not eligible,60,12,3888,0,No pension,Married,No,No,Yes
1000,Not eligible,53,12,7200,0,No pension,Not married,No,No,No
15500,Not eligible,54,14,31008,2,No pension,Married,Yes,Yes,Yes
0,Not eligible,38,12,31158,2,No pension,Married,Yes,No,Yes
-30,Not eligible,42,15,43350,3,No pension,Married,No,No,Yes
48599,Not eligible,37,12,42459,3,No pension,Married,Yes,No,Yes
30902,Not eligible,44,17,46815,3,Receives pension,Not married,No,Yes,Yes
-1622,Not eligible,53,8,8166,0,Receives pension,Not married,No,No,Yes
-1150,Not eligible,27,12,8814,0,No pension,Not married,No,No,No
52000,Not eligible,53,12,47520,3,No pension,Married,No,Yes,Yes
16350,Not eligible,63,9,25611,1,No pension,Married,No,No,Yes
-300,Not eligible,37,12,13314,0,Receives pension,Not married,No,No,No
0,Not eligible,45,12,10890,0,Receives pension,Not married,No,No,No
4200,Not eligible,54,6,37980,3,Receives pension,Married,Yes,Yes,Yes
-1000,Not eligible,27,12,32880,2,No pension,Married,Yes,No,No
-2400,Not eligible,36,12,30837,2,No pension,Married,Yes,No,No
2100,Not eligible,32,14,21306,1,No pension,Not married,No,No,Yes
-600,Not eligible,30,12,17430,1,No pension,Not married,No,No,No
40999,Not eligible,32,18,68169,4,Receives pension,Married,Yes,Yes,Yes
1152,Not eligible,61,15,23562,1,No pension,Not married,No,No,Yes
325,Not eligible,34,12,33171,2,No pension,Married,No,No,No
0,Not eligible,29,12,15276,0,No pension,Not married,No,No,No
300,Not eligible,62,5,20151,1,No pension,Married,No,No,Yes
-611,Not eligible,41,12,37440,3,No pension,Married,Yes,No,Yes
2056,Not eligible,40,15,32205,2,Receives pension,Married,Yes,No,Yes
39000,Not eligible,45,12,15936,0,No pension,Not married,No,Yes,Yes
49,Not eligible,25,12,11733,0,No pension,Married,No,No,No
0,Not eligible,26,12,38226,3,No pension,Married,Yes,No,No
59748,Not eligible,41,12,15120,0,No pension,Married,No,No,Yes
-3230,Not eligible,29,16,39000,3,No pension,Not married,No,No,No
-1001,Not eligible,40,16,10260,0,No pension,Not married,No,No,Yes
150,Not eligible,29,2,25209,1,No pension,Married,Yes,No,No
-6235,Not eligible,42,14,33726,2,Receives pension,Married,No,No,Yes
50,Not eligible,28,16,30363,2,No pension,Married,No,No,No
-2250,Not eligible,27,12,13482,0,No pension,Married,No,No,No
7529,Not eligible,38,8,9480,0,No pension,Not married,No,Yes,Yes
0,Not eligible,40,9,19650,1,No pension,Not married,No,No,No
-2150,Not eligible,48,14,14025,0,No pension,Not married,No,No,Yes
500,Not eligible,31,13,15840,0,No pension,Married,No,No,No
3400,Not eligible,41,12,26148,1,Receives pension,Not married,No,Yes,No
0,Not eligible,44,16,79041,4,Receives pension,Not married,No,No,No
104500,Not eligible,42,18,36489,2,Receives pension,Married,No,No,Yes
200,Not eligible,46,6,7680,0,No pension,Married,Yes,No,No
0,Not eligible,25,12,16278,0,No pension,Not married,No,No,No
25900,Not eligible,46,18,35346,2,Receives pension,Not married,No,Yes,Yes
90294,Not eligible,54,16,98907,4,No pension,Married,Yes,Yes,Yes
29200,Not eligible,28,17,49125,3,No pension,Married,Yes,Yes,Yes
-2600,Not eligible,46,12,13956,0,No pension,Not married,No,No,Yes
2600,Not eligible,25,18,4944,0,No pension,Not married,No,No,No
-150,Not eligible,36,16,12636,0,No pension,Married,No,No,Yes
0,Not eligible,60,9,12792,0,No pension,Not married,No,No,Yes
4100,Not eligible,40,14,50634,3,Receives pension,Married,Yes,Yes,No
-21751,Not eligible,28,16,3765,0,No pension,Not married,No,No,No
10,Not eligible,34,12,27006,2,No pension,Not married,No,No,No
-400,Not eligible,36,13,6411,0,No pension,Not married,No,No,No
0,Not eligible,25,9,8256,0,No pension,Not married,No,No,No
500,Not eligible,28,12,10500,0,No pension,Not married,No,No,No
0,Not eligible,31,12,23223,1,No pension,Married,No,No,No
-3146,Not eligible,38,11,36654,2,No pension,Married,Yes,No,Yes
0,Not eligible,53,12,8700,0,No pension,Not married,No,No,Yes
7751,Not eligible,63,11,36633,2,Receives pension,Married,Yes,Yes,Yes
12800,Not eligible,31,12,25680,1,No pension,Married,No,No,No
0,Not eligible,28,10,15708,0,No pension,Married,No,No,Yes
3870,Not eligible,35,17,23037,1,No pension,Not married,No,Yes,No
36741,Not eligible,34,14,56409,4,No pension,Married,No,Yes,Yes
13099,Not eligible,64,9,15696,0,No pension,Married,No,No,Yes
62399,Not eligible,56,12,38766,3,No pension,Married,No,Yes,Yes
27400,Not eligible,50,12,60300,4,No pension,Married,Yes,Yes,Yes
80,Not eligible,41,6,10830,0,No pension,Married,No,No,No
1400,Not eligible,27,13,32106,2,No pension,Married,Yes,No,No
-8675,Not eligible,25,16,28800,2,No pension,Married,Yes,No,No
0,Not eligible,26,12,5694,0,No pension,Married,No,No,No
-7495,Not eligible,42,15,16326,0,Receives pension,Married,Yes,No,Yes
1681,Not eligible,29,16,22464,1,Receives pension,Not married,No,Yes,Yes
3000,Not eligible,27,12,52860,3,No pension,Not married,No,No,No
-1031,Not eligible,29,12,25668,1,No pension,Married,Yes,No,No
1746,Not eligible,40,12,46605,3,No pension,Married,No,No,Yes
178915,Not eligible,36,14,77316,4,No pension,Married,No,No,Yes
18300,Not eligible,62,12,29700,2,No pension,Married,No,No,Yes
0,Not eligible,25,12,15810,0,No pension,Not married,No,No,No
2999,Not eligible,39,14,28740,2,Receives pension,Not married,No,No,Yes
-43434,Not eligible,60,13,40917,3,No pension,Married,No,No,No
-2975,Not eligible,31,8,5250,0,No pension,Married,No,No,Yes
-1240,Not eligible,36,12,7197,0,No pension,Not married,No,No,No
-40,Not eligible,35,12,15690,0,No pension,Not married,No,No,Yes
4701,Not eligible,52,12,20700,1,No pension,Not married,No,No,Yes
7000,Not eligible,26,16,21975,1,No pension,Married,No,No,No
-3200,Not eligible,38,12,32805,2,No pension,Married,Yes,No,No
78300,Not eligible,32,12,83652,4,No pension,Married,Yes,Yes,Yes
-2500,Not eligible,56,12,40710,3,No pension,Not married,No,Yes,Yes
-10900,Not eligible,38,14,54765,4,No pension,Married,No,No,Yes
-2482,Not eligible,33,15,36051,2,No pension,Married,No,No,No
-2400,Not eligible,38,12,22776,1,No pension,Married,No,No,Yes
300,Not eligible,44,1,6792,0,No pension,Married,No,No,No
-20509,Not eligible,39,11,30021,2,No pension,Married,No,No,Yes
-2900,Not eligible,49,14,29814,2,No pension,Not married,No,No,No
-12007,Not eligible,27,14,23850,1,No pension,Married,Yes,No,No
6000,Not eligible,60,12,35277,2,No pension,Married,Yes,No,No
-1000,Not eligible,40,12,21630,1,No pension,Not married,No,No,Yes
-2200,Not eligible,35,12,25215,1,No pension,Married,Yes,No,Yes
0,Not eligible,47,12,28200,2,No pension,Married,No,No,Yes
0,Not eligible,42,9,19101,1,No pension,Married,Yes,No,No
2000,Not eligible,45,12,17829,1,No pension,Married,Yes,No,Yes
5700,Not eligible,59,7,13974,0,No pension,Not married,No,Yes,Yes
57,Not eligible,33,13,19767,1,No pension,Married,Yes,No,No
15630,Not eligible,58,14,49170,3,No pension,Married,No,Yes,Yes
-1400,Not eligible,31,12,44598,3,No pension,Married,Yes,No,Yes
-355,Not eligible,41,14,70671,4,Receives pension,Married,Yes,No,Yes
63400,Not eligible,53,17,32856,2,No pension,Not married,No,Yes,Yes
-310,Not eligible,39,12,16140,0,No pension,Married,No,No,No
3500,Not eligible,42,14,41316,3,Receives pension,Married,Yes,No,Yes
-4331,Not eligible,38,14,24849,1,No pension,Married,No,No,Yes
-2500,Not eligible,28,12,24600,1,Receives pension,Not married,No,No,Yes
-9456,Not eligible,41,15,24012,1,No pension,Not married,No,No,Yes
4,Not eligible,32,12,4668,0,No pension,Married,No,No,No
93300,Not eligible,45,14,105300,4,No pension,Married,Yes,Yes,Yes
1100,Not eligible,41,14,18090,1,No pension,Married,No,No,No
8000,Not eligible,57,12,12555,0,No pension,Not married,No,No,No
-16586,Not eligible,52,18,7440,0,No pension,Not married,No,No,No
0,Not eligible,43,11,12828,0,No pension,Not married,No,No,Yes
2000,Not eligible,41,12,82200,4,Receives pension,Married,Yes,No,Yes
0,Not eligible,61,12,40770,3,No pension,Married,Yes,No,No
-700,Not eligible,35,12,18903,1,No pension,Married,No,No,Yes
0,Not eligible,39,5,11808,0,No pension,Married,Yes,No,No
23820,Not eligible,48,15,23640,1,Receives pension,Not married,No,Yes,No
10500,Not eligible,26,16,25860,1,No pension,Not married,No,No,Yes
4922,Not eligible,52,14,32826,2,No pension,Married,No,Yes,Yes
17000,Not eligible,49,18,23100,1,No pension,Not married,No,No,Yes
-800,Not eligible,53,10,26622,2,Receives pension,Married,Yes,No,Yes
-700,Not eligible,42,12,26190,1,No pension,Married,Yes,No,Yes
-1100,Not eligible,45,12,28524,2,No pension,Not married,No,No,No
0,Not eligible,60,7,15723,0,No pension,Not married,No,No,Yes
-7700,Not eligible,28,14,34503,2,No pension,Married,Yes,No,Yes
18800,Not eligible,43,18,50550,3,Receives pension,Not married,No,No,Yes
0,Not eligible,36,16,25866,1,No pension,Not married,No,No,No
-3100,Not eligible,48,8,24090,1,No pension,Married,Yes,No,Yes
-1451,Not eligible,39,18,18990,1,No pension,Not married,No,No,Yes
-2550,Not eligible,38,13,27930,2,No pension,Married,No,No,Yes
0,Not eligible,31,12,8670,0,No pension,Married,No,No,No
-7000,Not eligible,52,12,53955,4,No pension,Married,Yes,No,Yes
-5901,Not eligible,28,12,39045,3,No pension,Married,Yes,No,No
53712,Not eligible,62,18,29841,2,Receives pension,Not married,No,Yes,Yes
-700,Not eligible,27,14,25500,1,No pension,Not married,No,No,No
0,Not eligible,40,12,8031,0,No pension,Not married,No,No,No
-3250,Not eligible,32,12,29940,2,No pension,Married,No,No,Yes
18700,Not eligible,51,12,30030,2,Receives pension,Not married,No,Yes,Yes
-1060,Not eligible,41,13,25944,1,No pension,Married,No,No,No
-550,Not eligible,50,12,6060,0,No pension,Not married,No,No,Yes
-495,Not eligible,31,12,10008,0,No pension,Not married,No,No,No
6807,Not eligible,46,13,11856,0,No pension,Not married,No,No,No
-295,Not eligible,32,10,25500,1,No pension,Married,No,No,Yes
-4450,Not eligible,55,9,15150,0,No pension,Married,No,No,Yes
6548,Not eligible,51,12,45003,3,No pension,Married,Yes,No,Yes
-15550,Not eligible,54,10,32241,2,Receives pension,Married,Yes,No,Yes
4399,Not eligible,55,12,33657,2,No pension,Married,Yes,No,Yes
1010,Not eligible,29,16,76650,4,No pension,Married,Yes,No,Yes
600,Not eligible,60,12,16980,0,No pension,Married,Yes,No,No
-18880,Not eligible,35,16,42930,3,No pension,Married,Yes,No,Yes
-2450,Not eligible,30,6,15300,0,No pension,Married,No,No,Yes
1150,Not eligible,26,14,37833,3,Receives pension,Married,Yes,No,No
79400,Not eligible,55,9,68760,4,No pension,Married,No,No,No
-8880,Not eligible,57,12,25200,1,No pension,Not married,No,No,Yes
36400,Not eligible,45,12,28875,2,Receives pension,Not married,No,Yes,Yes
3300,Not eligible,41,17,49356,3,No pension,Married,Yes,Yes,Yes
-5400,Not eligible,42,13,16521,0,No pension,Not married,No,No,Yes
964,Not eligible,26,12,22305,1,No pension,Married,Yes,No,No
99,Not eligible,41,12,19590,1,No pension,Not married,No,No,Yes
100,Not eligible,35,8,40572,3,Receives pension,Not married,No,No,No
5795,Not eligible,27,18,45219,3,No pension,Not married,No,No,No
599,Not eligible,46,14,24996,1,No pension,Not married,No,No,Yes
200,Not eligible,44,12,34539,2,No pension,Married,Yes,No,Yes
800,Not eligible,49,14,16335,0,No pension,Not married,No,Yes,No
-1950,Not eligible,63,15,14400,0,No pension,Not married,No,No,Yes
-5996,Not eligible,31,12,8085,0,No pension,Married,No,No,No
-13551,Not eligible,34,13,62703,4,No pension,Married,Yes,No,Yes
-5350,Not eligible,29,12,34923,2,No pension,Not married,No,No,No
-400,Not eligible,42,10,19848,1,No pension,Married,Yes,No,Yes
-142,Not eligible,53,12,11523,0,No pension,Married,No,No,Yes
-2600,Not eligible,30,12,8280,0,No pension,Married,No,No,No
-627,Not eligible,36,10,12750,0,No pension,Married,No,No,No
-150,Not eligible,45,12,15054,0,No pension,Not married,No,No,Yes
10000,Not eligible,42,12,38343,3,No pension,Married,Yes,No,Yes
1295,Not eligible,36,14,56160,4,No pension,Not married,No,No,No
-800,Not eligible,25,11,13506,0,No pension,Not married,No,No,No
6000,Not eligible,40,15,37920,3,No pension,Not married,No,No,Yes
-8800,Not eligible,33,12,30828,2,No pension,Married,No,No,Yes
0,Not eligible,52,8,21891,1,Receives pension,Not married,No,No,Yes
400,Not eligible,33,12,13749,0,No pension,Not married,No,No,No
16199,Not eligible,44,18,23055,1,No pension,Not married,No,Yes,Yes
-200,Not eligible,31,12,20436,1,No pension,Married,No,No,No
154825,Not eligible,46,18,43086,3,Receives pension,Not married,No,No,Yes
-100,Not eligible,31,13,25803,1,No pension,Married,Yes,No,Yes
-1011,Not eligible,25,13,10206,0,No pension,Married,No,No,Yes
-33900,Not eligible,43,16,42024,3,No pension,Married,Yes,No,No
0,Not eligible,41,12,24864,1,No pension,Married,Yes,No,Yes
13449,Not eligible,51,18,39165,3,No pension,Married,No,Yes,Yes
-4500,Not eligible,54,16,65550,4,Receives pension,Married,Yes,No,Yes
-55,Not eligible,44,12,9693,0,No pension,Not married,No,No,No
-3200,Not eligible,33,13,13386,0,No pension,Not married,No,No,Yes
-1552,Not eligible,54,12,19371,1,Receives pension,Married,No,No,No
-3875,Not eligible,41,17,56334,4,Receives pension,Married,Yes,No,Yes
-4811,Not eligible,43,16,23463,1,No pension,Not married,No,No,No
-20050,Not eligible,43,14,74955,4,Receives pension,Married,Yes,No,Yes
1746,Not eligible,44,16,31527,2,No pension,Married,No,No,Yes
-2000,Not eligible,62,12,17340,1,Receives pension,Not married,No,No,No
5050,Not eligible,32,17,95961,4,Receives pension,Married,Yes,Yes,No
-360,Not eligible,34,12,72375,4,No pension,Married,Yes,No,Yes
-8005,Not eligible,39,18,74649,4,Receives pension,Married,Yes,No,Yes
6107,Not eligible,52,12,26412,1,No pension,Married,No,Yes,Yes
-1600,Not eligible,26,16,52320,3,Receives pension,Married,Yes,No,Yes
-2400,Not eligible,54,12,61692,4,No pension,Married,Yes,Yes,Yes
-5700,Not eligible,41,15,6741,0,No pension,Not married,No,No,Yes
47384,Not eligible,48,16,30543,2,No pension,Not married,No,No,No
0,Not eligible,40,12,24000,1,No pension,Not married,No,No,No
0,Not eligible,51,8,10509,0,No pension,Married,No,No,No
-50,Not eligible,60,12,17544,1,No pension,Not married,No,No,Yes
4000,Not eligible,27,12,30300,2,No pension,Married,No,Yes,No
10150,Not eligible,45,12,49551,3,No pension,Married,No,Yes,Yes
48486,Not eligible,64,8,34881,2,No pension,Married,No,Yes,Yes
3050,Not eligible,40,12,21645,1,No pension,Not married,No,Yes,Yes
-6000,Not eligible,34,9,19890,1,No pension,Married,Yes,No,Yes
600,Not eligible,30,8,7884,0,No pension,Not married,No,No,No
-762,Not eligible,33,14,35757,2,Receives pension,Not married,No,No,No
-15047,Not eligible,31,16,7320,0,No pension,Not married,No,No,No
-500,Not eligible,55,9,18468,1,Receives pension,Not married,No,No,No
0,Not eligible,43,8,10500,0,No pension,Married,No,No,No
3788,Not eligible,43,12,23667,1,No pension,Not married,No,Yes,No
2400,Not eligible,30,12,25650,1,No pension,Not married,No,No,No
19513,Not eligible,54,11,36636,2,Receives pension,Married,Yes,Yes,Yes
999,Not eligible,44,10,12960,0,No pension,Married,No,No,No
23800,Not eligible,30,18,91500,4,No pension,Not married,No,No,No
0,Not eligible,41,10,10200,0,No pension,Not married,No,No,Yes
0,Not eligible,42,11,8937,0,No pension,Not married,No,No,Yes
0,Not eligible,30,12,28629,2,No pension,Married,Yes,No,Yes
-3998,Not eligible,34,16,5865,0,No pension,Not married,No,No,No
-19450,Not eligible,28,18,68229,4,No pension,Not married,No,No,Yes
-8700,Not eligible,45,13,61830,4,No pension,Married,Yes,No,Yes
-4400,Not eligible,45,12,46071,3,No pension,Married,Yes,No,Yes
12800,Not eligible,52,12,48000,3,No pension,Married,Yes,Yes,No
-14850,Not eligible,46,12,25500,1,No pension,Married,No,No,Yes
22499,Not eligible,53,12,37800,3,No pension,Not married,No,No,Yes
0,Not eligible,31,11,21129,1,No pension,Married,No,No,No
250999,Not eligible,50,18,162597,4,No pension,Married,No,Yes,Yes
0,Not eligible,39,8,25416,1,No pension,Married,No,No,No
-3288,Not eligible,26,16,1275,0,No pension,Not married,No,No,No
35000,Not eligible,34,18,92097,4,No pension,Married,No,No,Yes
12618,Not eligible,59,11,21843,1,No pension,Not married,No,No,Yes
53258,Not eligible,37,15,85926,4,No pension,Married,Yes,Yes,Yes
-2090,Not eligible,32,14,35751,2,No pension,Married,Yes,No,No
-6600,Not eligible,50,13,19965,1,No pension,Not married,No,Yes,No
-24800,Not eligible,47,18,24996,1,Receives pension,Not married,No,No,No
-11760,Not eligible,43,7,27168,2,No pension,Married,No,No,Yes
-4456,Not eligible,37,18,30942,2,No pension,Not married,No,No,Yes
-7450,Not eligible,57,9,23394,1,Receives pension,Not married,No,No,Yes
-29001,Not eligible,61,12,49002,3,No pension,Married,Yes,No,Yes
-5646,Not eligible,29,14,20400,1,No pension,Married,No,No,Yes
-1000,Not eligible,33,16,31440,2,Receives pension,Not married,No,No,No
-6127,Not eligible,41,7,35478,2,Receives pension,Married,Yes,No,Yes
0,Not eligible,55,10,10200,0,No pension,Not married,No,No,No
-2801,Not eligible,29,15,13890,0,No pension,Not married,No,No,No
22499,Not eligible,60,10,39288,3,No pension,Married,No,Yes,Yes
-1100,Not eligible,53,10,4950,0,No pension,Married,No,No,Yes
5290,Not eligible,52,13,47295,3,Receives pension,Married,Yes,Yes,Yes
5000,Not eligible,35,17,11628,0,No pension,Not married,No,No,Yes
29000,Not eligible,30,12,29400,2,No pension,Not married,No,No,Yes
-2200,Not eligible,29,12,22680,1,No pension,Married,No,No,No
-1751,Not eligible,32,12,41175,3,Receives pension,Married,Yes,No,No
500,Not eligible,25,12,8889,0,No pension,Not married,No,No,Yes
110000,Not eligible,45,18,94776,4,No pension,Not married,No,No,Yes
-8900,Not eligible,37,13,50280,3,No pension,Married,Yes,No,Yes
-18700,Not eligible,47,14,27150,2,Receives pension,Not married,No,No,No
21600,Not eligible,58,12,36900,2,No pension,Married,No,No,Yes
19600,Not eligible,27,12,6096,0,Receives pension,Not married,No,No,Yes
1500,Not eligible,28,12,32430,2,No pension,Married,No,No,No
0,Not eligible,40,16,8394,0,No pension,Not married,No,No,No
17517,Not eligible,42,18,49509,3,Receives pension,Not married,No,No,Yes
10220,Not eligible,49,12,18117,1,No pension,Not married,No,Yes,Yes
0,Not eligible,60,12,7830,0,No pension,Not married,No,No,Yes
449,Not eligible,43,12,27792,2,No pension,Married,No,Yes,Yes
7997,Not eligible,39,18,62610,4,No pension,Married,Yes,Yes,Yes
-19706,Not eligible,48,11,32349,2,No pension,Married,Yes,No,No
92800,Not eligible,52,18,100596,4,No pension,Not married,No,No,Yes
-1490,Not eligible,30,12,34443,2,No pension,Married,Yes,No,Yes
54997,Not eligible,55,10,27000,2,No pension,Married,Yes,Yes,No
2499,Not eligible,28,12,47070,3,No pension,Married,Yes,No,Yes
-15500,Not eligible,48,15,20592,1,No pension,Married,No,No,Yes
299,Not eligible,36,12,12243,0,No pension,Not married,No,No,No
6973,Not eligible,44,14,84993,4,No pension,Married,Yes,No,Yes
-3610,Not eligible,31,12,9369,0,No pension,Not married,No,No,No
26749,Not eligible,55,6,45990,3,No pension,Married,Yes,Yes,Yes
345603,Not eligible,52,12,110952,4,No pension,Married,Yes,Yes,Yes
1499,Not eligible,46,12,56094,4,Receives pension,Married,Yes,No,Yes
1200,Not eligible,50,12,31296,2,No pension,Married,No,No,Yes
-5900,Not eligible,52,12,30045,2,Receives pension,Married,Yes,Yes,Yes
343,Not eligible,38,12,31938,2,No pension,Married,No,No,Yes
420,Not eligible,41,11,16740,0,Receives pension,Not married,No,No,No
2200,Not eligible,48,16,28812,2,Receives pension,Not married,No,Yes,Yes
30849,Not eligible,31,18,22722,1,No pension,Married,No,Yes,Yes
-26280,Not eligible,34,16,44775,3,No pension,Married,No,No,No
800,Not eligible,36,12,4458,0,No pension,Married,Yes,No,No
0,Not eligible,53,3,13770,0,No pension,Married,No,No,Yes
-600,Not eligible,44,14,47250,3,No pension,Not married,No,No,Yes
12500,Not eligible,64,11,18738,1,No pension,Married,Yes,Yes,Yes
0,Not eligible,38,12,15321,0,No pension,Not married,No,No,No
-870,Not eligible,31,13,27720,2,No pension,Married,Yes,No,Yes
849,Not eligible,25,13,20448,1,Receives pension,Not married,No,No,No
-1154,Not eligible,33,14,39234,3,No pension,Married,Yes,No,No
-7200,Not eligible,47,16,39525,3,No pension,Not married,No,No,Yes
10325,Not eligible,56,8,1188,0,No pension,Not married,No,Yes,No
-4300,Not eligible,28,12,45090,3,No pension,Married,Yes,No,Yes
-4095,Not eligible,41,12,19413,1,No pension,Not married,No,No,Yes
2526,Not eligible,25,16,47322,3,No pension,Married,Yes,No,Yes
76000,Not eligible,64,13,30432,2,No pension,Married,No,Yes,No
-2050,Not eligible,26,14,26430,1,No pension,Married,Yes,No,No
11654,Not eligible,29,13,44952,3,No pension,Married,No,No,No
-2400,Not eligible,46,18,56388,4,Receives pension,Married,Yes,No,Yes
0,Not eligible,46,12,24126,1,No pension,Married,No,No,No
1351,Not eligible,57,12,14676,0,No pension,Married,Yes,Yes,Yes
1600,Not eligible,41,18,33225,2,No pension,Not married,No,Yes,No
7600,Not eligible,43,12,26580,2,No pension,Not married,No,No,Yes
950,Not eligible,27,12,38670,3,No pension,Married,Yes,No,Yes
11599,Not eligible,37,16,38697,3,Receives pension,Not married,No,No,No
1247,Not eligible,44,13,35700,2,No pension,Married,Yes,No,Yes
255,Not eligible,38,12,57609,4,No pension,Married,Yes,No,Yes
-1500,Not eligible,28,14,16380,0,No pension,Not married,No,No,No
-250,Not eligible,37,14,20676,1,No pension,Married,Yes,No,No
16500,Not eligible,33,16,108300,4,No pension,Married,Yes,Yes,Yes
-9000,Not eligible,28,12,19680,1,No pension,Married,Yes,No,No
