year,state,spillover
1987,North Carolina,-2.9383130151927615e-08
1988,North Carolina,-1.420760903278051e-06
1989,North Carolina,-2.2861297450617714e-06
1990,North Carolina,-2.5189886954080976e-06
1991,North Carolina,-3.3069565767107177e-06
1992,North Carolina,-3.0770802945767172e-06
1993,North Carolina,-4.012687680722138e-06
1994,North Carolina,-4.544769794043191e-06
1995,North Carolina,-5.050416150911019e-06
1996,North Carolina,-5.243382084199766e-06
1997,North Carolina,-5.428041658254301e-06
1998,North Carolina,-5.8279494116476375e-06
1999,North Carolina,-6.629433719345457e-06
2000,North Carolina,-7.063830706465524e-06
1970,North Dakota,9.199050102451168e-05
1971,North Dakota,-8.480707826689695e-05
1972,North Dakota,-5.023057420850421e-05
1973,North Dakota,7.484027524045018e-05
1974,North Dakota,-1.2565416620418546e-05
1975,North Dakota,1.0196529804338183e-05
1976,North Dakota,-2.7655054944608537e-05
1977,North Dakota,-7.895849689889474e-05
1978,North Dakota,0.00017222278351559055
1979,North Dakota,9.551096870160336e-06
1980,North Dakota,-2.6826135177716992e-05
1981,North Dakota,-3.747726468335202e-05
1982,North Dakota,-1.3959874624183043e-05
1983,North Dakota,-7.039558084178737e-05
1984,North Dakota,9.91451924261412e-05
1985,North Dakota,-2.3297491278364646e-05
1986,North Dakota,1.5490260177131176e-06
1987,North Dakota,-4.019018757486776e-05
1988,North Dakota,-0.001988741097842214
1989,North Dakota,-0.003212999903984428
1990,North Dakota,-0.003539340577207591
1991,North Dakota,-0.004659919941988346
1992,North Dakota,-0.004336503165903542
1993,North Dakota,-0.005660915002552053
1994,North Dakota,-0.006397323838330832
1995,North Dakota,-0.007107028813730119
1996,North Dakota,-0.007378789135275378
1997,North Dakota,-0.007634487710447641
1998,North Dakota,-0.008191282062542752
1999,North Dakota,-0.009326278403984053
2000,North Dakota,-0.009935742146877022
1970,Ohio,7.810043319125271e-08
1971,Ohio,-7.216710891952971e-08
1972,Ohio,-4.210735613412453e-08
1973,Ohio,6.331164842947601e-08
1974,Ohio,-1.1441758681485226e-08
1975,Ohio,9.47605055614531e-09
1976,Ohio,-2.0345525135212485e-08
1977,Ohio,-6.90936222468963e-08
1978,Ohio,1.51535239444911e-07
1979,Ohio,7.925635804895136e-09
1980,Ohio,-2.518059094995806e-08
1981,Ohio,-3.2676081650606646e-08
1982,Ohio,-1.2980070579260427e-08
1983,Ohio,-6.00819293481436e-08
1984,Ohio,8.595295007580717e-08
1985,Ohio,-2.0001150841153503e-08
1986,Ohio,3.7884720086367455e-09
1987,Ohio,-3.6199042500584255e-08
1988,Ohio,-1.7487591064764274e-06
1989,Ohio,-2.813467732215713e-06
1990,Ohio,-3.1000614056210906e-06
1991,Ohio,-4.069312359709442e-06
1992,Ohio,-3.7863986336617473e-06
1993,Ohio,-4.937514131549392e-06
1994,Ohio,-5.592762227698244e-06
1995,Ohio,-6.215096590756275e-06
1996,Ohio,-6.452537403316683e-06
1997,Ohio,-6.679937801916936e-06
1998,Ohio,-7.172289010279087e-06
1999,Ohio,-8.158348293196127e-06
2000,Ohio,-8.692978460251765e-06
1970,Oklahoma,3.339672900046935e-05
1971,Oklahoma,-3.079178421316726e-05
1972,Oklahoma,-1.8234095416033824e-05
1973,Oklahoma,2.7170811647354753e-05
1974,Oklahoma,-4.568689078411126e-06
1975,Oklahoma,3.710286819494968e-06
1976,Oklahoma,-1.0008924343310355e-05
1977,Oklahoma,-2.8692779399960955e-05
1978,Oklahoma,6.258702975013648e-05
1979,Oklahoma,3.4661918978713403e-06
1980,Oklahoma,-9.767378419491025e-06
1981,Oklahoma,-1.3618824456682433e-05
1982,Oklahoma,-5.077859741470548e-06
1983,Oklahoma,-2.5561421566555964e-05
1984,Oklahoma,3.6015920935221854e-05
1985,Oklahoma,-8.458068807706809e-06
1986,Oklahoma,5.858047656630561e-07
1987,Oklahoma,-1.46145332667885e-05
1988,Oklahoma,-0.0007227173350898682
1989,Oklahoma,-0.0011674909473896264
1990,Oklahoma,-0.0012860828278955126
1991,Oklahoma,-0.0016931417394555979
1992,Oklahoma,-0.0015756337889227126
1993,Oklahoma,-0.0020567808481611423
1994,Oklahoma,-0.0023244638195286456
1995,Oklahoma,-0.0025823497158843026
1996,Oklahoma,-0.0026810974068323078
1997,Oklahoma,-0.002774042092991391
1998,Oklahoma,-0.002976407117155492
1999,Oklahoma,-0.0033887443837429944
2000,Oklahoma,-0.0036102142971929227
1970,Pennsylvania,1.7814712870745097e-08
1971,Pennsylvania,-1.645497842730492e-08
1972,Pennsylvania,-9.524847351372046e-09
1973,Pennsylvania,1.4393133778867195e-08
1974,Pennsylvania,-2.6870868538253488e-09
1975,Pennsylvania,2.222655538730578e-09
1976,Pennsylvania,-4.392880961745504e-09
1977,Pennsylvania,-1.5860882467677583e-08
1978,Pennsylvania,3.4902136104619786e-08
1979,Pennsylvania,1.7821107377358203e-09
1980,Pennsylvania,-5.8978056159730845e-09
1981,Pennsylvania,-7.471984324070035e-09
1982,Pennsylvania,-3.060643959429399e-09
1983,Pennsylvania,-1.3718558292907802e-08
1984,Pennsylvania,1.9702759638562383e-08
1985,Pennsylvania,-4.605909478527792e-09
1986,Pennsylvania,1.0759071216170922e-09
1987,Pennsylvania,-8.391955142883489e-09
1988,Pennsylvania,-4.0260505959963665e-07
1989,Pennsylvania,-6.468850461942566e-07
1990,Pennsylvania,-7.128252752636399e-07
1991,Pennsylvania,-9.347401437764801e-07
1992,Pennsylvania,-8.696391793620251e-07
1993,Pennsylvania,-1.1337421480305921e-06
1994,Pennsylvania,-1.2852838094687512e-06
1995,Pennsylvania,-1.4284644525304203e-06
1996,Pennsylvania,-1.4829720022817127e-06
1997,Pennsylvania,-1.5355480924966969e-06
1998,Pennsylvania,-1.6491479892948745e-06
1999,Pennsylvania,-1.8752763417325013e-06
2000,Pennsylvania,-1.9982450227729487e-06
1970,Rhode Island,-8.895995051716454e-15
1971,Rhode Island,-2.355875494686188e-14
1972,Rhode Island,-1.3892531569581479e-14
1973,Rhode Island,-1.8729906514636242e-14
1974,Rhode Island,-5.4495785661856644e-14
1975,Rhode Island,-2.7046098693972454e-14
1976,Rhode Island,-1.1164047464262694e-14
1977,Rhode Island,4.5469050746760334e-14
1978,Rhode Island,-1.7001866581267676e-14
1979,Rhode Island,-2.822275746439118e-14
1980,Rhode Island,-3.456648300925735e-14
1981,Rhode Island,4.484945748117752e-15
1982,Rhode Island,-4.214371074340306e-14
1983,Rhode Island,-1.2425971362972631e-14
1984,Rhode Island,2.956426214950625e-14
1985,Rhode Island,-2.581259650469292e-14
1986,Rhode Island,2.625029082992114e-14
1987,Rhode Island,-2.297326773259556e-14
1988,Rhode Island,-7.746052688162308e-14
1989,Rhode Island,-8.207905466406374e-14
1990,Rhode Island,-6.413642950064969e-14
1991,Rhode Island,-4.5201886678114534e-14
1992,Rhode Island,-1.8479795471648686e-14
1993,Rhode Island,-1.9826984498649836e-14
1994,Rhode Island,2.020783540501725e-15
1995,Rhode Island,-3.4589220376801678e-15
1996,Rhode Island,-3.8897951526450926e-14
1997,Rhode Island,-2.3652546587982216e-14
1998,Rhode Island,-7.838707460905425e-15
1999,Rhode Island,-2.7495161702972838e-14
2000,Rhode Island,-3.446984919719398e-14
1970,South Carolina,2.2947811180529244e-08
1971,South Carolina,-2.119919071219556e-08
1972,South Carolina,-1.2290678623116946e-08
1973,South Carolina,1.855364817231475e-08
1974,South Carolina,-3.441405880266757e-09
1975,South Carolina,2.8482960317433027e-09
1976,South Carolina,-5.7190494146652785e-09
1977,South Carolina,-2.0408980810771028e-08
1978,South Carolina,4.4879908938355585e-08
1979,South Carolina,2.3026779103929585e-09
1980,South Carolina,-7.560867311440234e-09
1981,South Carolina,-9.623128818248006e-09
1982,South Carolina,-3.918136593483723e-09
1983,South Carolina,-1.7668386533387093e-08
1984,South Carolina,2.5358480527870597e-08
1985,South Carolina,-5.921065007896686e-09
1986,South Carolina,1.3333312068652959e-09
1987,South Carolina,-1.0778554215562508e-08
1988,South Carolina,-5.177503886727664e-07
1989,South Carolina,-8.320964528138575e-07
1990,South Carolina,-9.169050494989505e-07
1991,South Carolina,-1.202586086236579e-06
1992,South Carolina,-1.1188616016909236e-06
1993,South Carolina,-1.4587145964583214e-06
1994,South Carolina,-1.6534256913161015e-06
1995,South Carolina,-1.8375794721293913e-06
1996,South Carolina,-1.907715779154273e-06
1997,South Carolina,-1.975273592671556e-06
1998,South Carolina,-2.1213012097689445e-06
1999,South Carolina,-2.4123163738920538e-06
2000,South Carolina,-2.570483551824054e-06
1970,South Dakota,0.00010081716524547347
1971,South Dakota,-9.29388280919909e-05
1972,South Dakota,-5.505166303104829e-05
1973,South Dakota,8.201926887690547e-05
1974,South Dakota,-1.3759574268812003e-05
1975,South Dakota,1.1160206913331194e-05
1976,South Dakota,-3.0361883520600942e-05
1977,South Dakota,-8.648411976530781e-05
1978,South Dakota,0.00018863554111770215
1979,South Dakota,1.0469601125276994e-05
1980,South Dakota,-2.9349128812631876e-05
1981,South Dakota,-4.1048960325869645e-05
1982,South Dakota,-1.5283427917879068e-05
1983,South Dakota,-7.714129817240121e-05
1984,South Dakota,0.00010861900229075729
1985,South Dakota,-2.5533970597859935e-05
1986,South Dakota,1.658029991099852e-06
1987,South Dakota,-4.40042511479021e-05
1988,South Dakota,-0.002178275727072082
1989,South Dakota,-0.0035194357911232828
1990,South Dakota,-0.003876879944213249
1991,South Dakota,-0.005104540219789044
1992,South Dakota,-0.004750256250074693
1993,South Dakota,-0.00620115646368217
1994,South Dakota,-0.0070076340348490165
1995,South Dakota,-0.007785022299879171
1996,South Dakota,-0.008082699487849138
1997,South Dakota,-0.008362729776108174
1998,South Dakota,-0.008972550657872856
1999,South Dakota,-0.010215935591733179
2000,South Dakota,-0.010883503564663518
1970,Tennessee,5.280248229155405e-07
1971,Tennessee,-4.877237637913367e-07
1972,Tennessee,-2.87017940303258e-07
1973,Tennessee,4.292858863749416e-07
1974,Tennessee,-7.483514067985198e-08
1975,Tennessee,6.16981431591057e-08
1976,Tennessee,-1.4690506932879544e-07
1977,Tennessee,-4.6236944452857643e-07
1978,Tennessee,1.0105329633347537e-06
1979,Tennessee,5.4272365065344276e-08
1980,Tennessee,-1.6392966003309085e-07
1981,Tennessee,-2.192889189871039e-07
1982,Tennessee,-8.411147537685792e-08
1983,Tennessee,-4.0554382277946387e-07
1984,Tennessee,5.766594242231804e-07
1985,Tennessee,-1.340853761348626e-07
1986,Tennessee,1.7973601126186622e-08
1987,Tennessee,-2.391529607052689e-07
1988,Tennessee,-1.1666297771651557e-05
1989,Tennessee,-1.8801485862019262e-05
1990,Tennessee,-2.0714854565210318e-05
1991,Tennessee,-2.7226803749172747e-05
1992,Tennessee,-2.5336906745818054e-05
1993,Tennessee,-3.3052087344967164e-05
1994,Tennessee,-3.739937592660567e-05
1995,Tennessee,-4.1554840864554874e-05
1996,Tennessee,-4.314409484846351e-05
1997,Tennessee,-4.465316870631e-05
1998,Tennessee,-4.792901417652331e-05
1999,Tennessee,-5.454068720195267e-05
2000,Tennessee,-5.8111242393033535e-05
1970,Texas,8.046732891330066e-06
1971,Texas,-7.4256301380557944e-06
1972,Texas,-4.39094731430032e-06
1973,Texas,6.548540627420607e-06
1974,Texas,-1.1148559018238303e-06
1975,Texas,9.116351176800208e-07
1976,Texas,-2.3472750443204402e-06
1977,Texas,-6.972819534544783e-06
1978,Texas,1.5213324282669305e-05
1979,Texas,8.325751006339032e-07
1980,Texas,-2.413937617546935e-06
1981,Texas,-3.309743846597257e-06
1982,Texas,-1.243041780293197e-06
1983,Texas,-6.169214300288672e-06
1984,Texas,8.724402563288436e-06
1985,Texas,-2.03714832325943e-06
1986,Texas,1.8922473722966515e-07
1987,Texas,-3.5715909227775455e-06
1988,Texas,-0.00017566312270988647
1989,Texas,-0.0002835009235725238
1990,Texas,-0.00031232294211164913
1991,Texas,-0.0004109193874820278
1992,Texas,-0.0003824094950978008
1993,Texas,-0.0004990387869360945
1994,Texas,-0.0005642406091308288
1995,Texas,-0.0006268687645190739
1996,Texas,-0.0006508488078097486
1997,Texas,-0.0006734855276606538
1998,Texas,-0.0007227190347698013
1999,Texas,-0.0008226788037182047
2000,Texas,-0.0008764848111235779
1970,Utah,0.007549567791814983
1971,Utah,-0.006946708223574174
1972,Utah,-0.00410157903313079
1973,Utah,0.006120501776390631
1974,Utah,-0.001005711168849325
1975,Utah,0.0008081722491651021
1976,Utah,-0.0023735801974488395
1977,Utah,-0.006325457551965712
1978,Utah,0.013826577313900157
1979,Utah,0.0007894828705746874
1980,Utah,-0.002062625751512496
1981,Utah,-0.0030026878971187044
1982,Utah,-0.0011258058178286916
1983,Utah,-0.005742186789989563
1984,Utah,0.008031644169248802
1985,Utah,-0.0019223656917965826
1986,Utah,5.2559690179472794e-05
1987,Utah,-0.003189083004888266
1988,Utah,-0.1597216404344037
1989,Utah,-0.2586019909097418
1990,Utah,-0.28481067491272966
1991,Utah,-0.375455825186905
1992,Utah,-0.3493342404021044
1993,Utah,-0.456389572345127
1994,Utah,-0.5153448591202584
1995,Utah,-0.5725122201089724
1996,Utah,-0.5943502493834327
1997,Utah,-0.6148335177815356
1998,Utah,-0.6595072517929719
1999,Utah,-0.7511719907836747
2000,Utah,-0.8001512287289414
1970,Vermont,-3.987281615991378e-14
1971,Vermont,-7.50276285543805e-14
1972,Vermont,-7.755147635180038e-14
1973,Vermont,-1.1646648090390955e-13
1974,Vermont,-9.218865670845843e-14
1975,Vermont,-5.6274984672199934e-14
1976,Vermont,-4.926050678477623e-14
1977,Vermont,-9.044356374943163e-14
1978,Vermont,-7.824496606190224e-14
1979,Vermont,-6.122036211309023e-14
1980,Vermont,-7.264588930411264e-14
1981,Vermont,-1.2190071174700278e-13
1982,Vermont,-2.7284841053187846e-14
1983,Vermont,-1.405169314239174e-13
1984,Vermont,-1.2450982467271387e-13
1985,Vermont,-1.1628458196355496e-13
1986,Vermont,-1.3118892638885882e-13
1987,Vermont,-7.744915819785092e-14
1988,Vermont,-1.2086616152373609e-13
1989,Vermont,-1.1133067800983554e-13
1990,Vermont,-9.527809652354336e-14
1991,Vermont,-7.465814633178524e-14
1992,Vermont,-7.31773752704612e-14
1993,Vermont,-7.681535407755291e-14
1994,Vermont,-7.174492111516884e-14
1995,Vermont,-1.036454477798543e-13
1996,Vermont,-1.1984866432612762e-13
1997,Vermont,-1.2445866559573914e-13
1998,Vermont,-7.846665539545939e-14
1999,Vermont,-1.0240910341963172e-13
2000,Vermont,-3.4449954000592696e-14
1970,Virginia,1.0438446264231515e-07
1971,Virginia,-9.645459205671614e-08
1972,Virginia,-5.639944344579817e-08
1973,Virginia,8.468758398976206e-08
1974,Virginia,-1.5171236958622103e-08
1975,Virginia,1.2559955007418467e-08
1976,Virginia,-2.7614644699269775e-08
1977,Virginia,-9.215731457175025e-08
1978,Virginia,2.0193583026753004e-07
1979,Virginia,1.062917563103838e-08
1980,Virginia,-3.3384550442860926e-08
1981,Virginia,-4.36204717345845e-08
1982,Virginia,-1.7179453993776406e-08
1983,Virginia,-8.027611561374214e-08
1984,Virginia,1.146969840760903e-07
1985,Virginia,-2.666941047095861e-08
1986,Virginia,4.711591179784591e-09
1987,Virginia,-4.8141406540480604e-08
1988,Virginia,-2.3306426180738528e-06
1989,Virginia,-3.751059794842604e-06
1990,Virginia,-4.133087021187976e-06
1991,Virginia,-5.426922768688769e-06
1992,Virginia,-5.049792371585227e-06
1993,Virginia,-6.585503917452229e-06
1994,Virginia,-7.45765390391e-06
1995,Virginia,-8.287220995211442e-06
1996,Virginia,-8.603922013170972e-06
1997,Virginia,-8.906617162975294e-06
1998,Virginia,-9.562384137538516e-06
1999,Virginia,-1.0878047241109812e-05
2000,Virginia,-1.1590754876891652e-05
1970,West Virginia,6.450606581722695e-08
1971,West Virginia,-5.96028915737179e-08
1972,West Virginia,-3.478560241205741e-08
1973,West Virginia,5.2294437864475184e-08
1974,West Virginia,-9.441543565458233e-09
1975,West Virginia,7.81642547735828e-09
1976,West Virginia,-1.68436373314762e-08
1977,West Virginia,-5.7044573100029084e-08
1978,West Virginia,1.2509638684718993e-07
1979,West Virginia,6.547451081928557e-09
1980,West Virginia,-2.0770189280483463e-08
1981,West Virginia,-2.6978122903642542e-08
1982,West Virginia,-1.0705343447625638e-08
1983,West Virginia,-4.962095455027793e-08
1984,West Virginia,7.096999924840475e-08
1985,West Virginia,-1.6516837635549565e-08
1986,West Virginia,3.098301166915007e-09
1987,West Virginia,-2.987305676072083e-08
1988,West Virginia,-1.4436577829002317e-06
1989,West Virginia,-2.3227455841407616e-06
1990,West Virginia,-2.559345452888806e-06
1991,West Virginia,-3.3596836562850285e-06
1992,West Virginia,-3.1261150704267494e-06
1993,West Virginia,-4.076552038301884e-06
1994,West Virginia,-4.6173872288648e-06
1995,West Virginia,-5.131158128980928e-06
1996,West Virginia,-5.3271935302205975e-06
1997,West Virginia,-5.514887815328961e-06
1998,West Virginia,-5.921305299315805e-06
1999,West Virginia,-6.7354687462000125e-06
2000,West Virginia,-7.176837454520068e-06
1970,Wisconsin,3.647815140649868e-06
1971,Wisconsin,-3.3691039722697267e-06
1972,Wisconsin,-1.985583407952163e-06
1973,Wisconsin,2.967114370429158e-06
1974,Wisconsin,-5.139633410436772e-07
1975,Wisconsin,4.233221960873834e-07
1976,Wisconsin,-1.0263397324422386e-06
1977,Wisconsin,-3.1882174145067664e-06
1978,Wisconsin,6.963816793700061e-06
1979,Wisconsin,3.757379862463495e-07
1980,Wisconsin,-1.1246557596109597e-06
1981,Wisconsin,-1.5127849008734983e-06
1982,Wisconsin,-5.766457187036167e-07
1983,Wisconsin,-2.8008283360520635e-06
1984,Wisconsin,3.978205974988214e-06
1985,Wisconsin,-9.250107485513582e-07
1986,Wisconsin,1.1486461765457534e-07
1987,Wisconsin,-1.64524047331156e-06
1988,Wisconsin,-8.04003709156774e-05
1989,Wisconsin,-0.00012961408149578802
1990,Wisconsin,-0.0001428021556382106
1991,Wisconsin,-0.00018773736572017866
1992,Wisconsin,-0.00017470941010598153
1993,Wisconsin,-0.00022792483767310897
1994,Wisconsin,-0.00025785548734228597
1995,Wisconsin,-0.00028649836717768837
1996,Wisconsin,-0.00029745737369272547
1997,Wisconsin,-0.00030784763168475993
1998,Wisconsin,-0.00033041299633752315
1999,Wisconsin,-0.00037602016790679044
2000,Wisconsin,-0.000400632122475605
1970,Wyoming,0.0008983653953838484
1971,Wyoming,-0.0008272802818879882
1972,Wyoming,-0.0004897996364778124
1973,Wyoming,0.0007298847079873383
1974,Wyoming,-0.00012101775848776128
1975,Wyoming,9.74811268240444e-05
1976,Wyoming,-0.00027756281547474374
1977,Wyoming,-0.0007617756810708613
1978,Wyoming,0.0016627030667250152
1979,Wyoming,9.360935255950835e-05
1980,Wyoming,-0.0002532580227554149
1981,Wyoming,-0.00036152016535738766
1982,Wyoming,-0.00013454918182590633
1983,Wyoming,-0.0006855591030661913
1984,Wyoming,0.0009615744053582433
1985,Wyoming,-0.00022805824922758405
1986,Wyoming,9.696995964688426e-06
1987,Wyoming,-0.0003855226049617357
1988,Wyoming,-0.019202255107397388
1989,Wyoming,-0.031059107790940867
1990,Wyoming,-0.03421005434238034
1991,Wyoming,-0.04507316258964946
1992,Wyoming,-0.041941749775255235
1993,Wyoming,-0.054773460413573706
1994,Wyoming,-0.061869360446777474
1995,Wyoming,-0.0687313941542222
1996,Wyoming,-0.07135683030248322
1997,Wyoming,-0.0738212783329204
1998,Wyoming,-0.07919322366679023
1999,Wyoming,-0.09018605774302249
2000,Wyoming,-0.09607328010348533
